species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Poultry,Layers,Neonate,Newcastle Disease,respiratory_distress|neurological_signs|diarrhoea|drop_in_egg_production,respiratory distress; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Neonate,Parasitic Gastroenteritis,poor_condition|weight_loss|diarrhoea,poor condition; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Neonate,Lumpy Skin Disease,skin_nodules|lameness,skin nodules; lameness,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bali,Senior,Babesiosis,weakness|anorexia|anemia|ticks_observed,weakness; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Foot-and-Mouth Disease,excess_salivation|lameness|fever,excess salivation; lameness,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Neonate,Anaplasmosis,fever|progressive_anemia|weight_loss|pale_mucous_membranes,fever; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Senior,Foot-and-Mouth Disease,excess_salivation|fever|blisters_mouth_feet,excess salivation; fever,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Adult,Theileriosis,lymph_node_enlargement|icterus|fever,lymph node enlargement; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Anaplasmosis,progressive_anemia|pale_mucous_membranes|fever,progressive anemia; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Dermatophilosis,matted_hair|exudative_dermatitis|wet_skin|lameness,matted hair; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Neonate,Theileriosis,lymph_node_enlargement|respiratory_distress,lymph node enlargement; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Brucellosis,retained_placenta|reduced_fertility|orchitis|abortions|sudden_death,retained placenta; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Berkshire,Neonate,African Swine Fever,abortions|anorexia,abortions; reduced appetite/anorexia,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Parasitic Gastroenteritis,weight_loss|anorexia|poor_condition|bottle_jaw|diarrhoea,weight loss; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Large White,Senior,African Swine Fever,anorexia|sudden_death|high_fever|sudden_death,reduced appetite/anorexia; sudden death,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Senior,Anaplasmosis,pale_mucous_membranes|weakness|weight_loss|fever,pale mucous membranes; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Neonate,Babesiosis,anorexia|anemia,reduced appetite/anorexia; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Neonate,Parasitic Gastroenteritis,anorexia|diarrhoea|bottle_jaw|weight_loss|poor_condition,reduced appetite/anorexia; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Adult,Theileriosis,fever|icterus|drooling|lymph_node_enlargement|anorexia,fever; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Mannheimiosis (Pasteurellosis),nasal_discharge|fever|coughing|respiratory_distress,nasal discharge; fever,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Neonate,Lumpy Skin Disease,fever|reduced_milk|skin_nodules,fever; reduced milk yield,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Adult,Theileriosis,anorexia|lymph_node_enlargement|fever,reduced appetite/anorexia; lymph node enlargement,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Adult,Mastitis,abnormal_milk|reduced_milk|swollen_udder,abnormal milk; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Brucellosis,reduced_fertility|retained_placenta|orchitis|sudden_death,reduced fertility; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Neonate,Babesiosis,fever|weakness|anemia|hemoglobinuria|anorexia,fever; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Babesiosis,fever|hemoglobinuria,fever; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Senior,Mannheimiosis (Pasteurellosis),nasal_discharge|fever|respiratory_distress|anorexia|coughing,nasal discharge; fever,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Neonate,Rabies (spillover),aggression|paralysis|behavioural_changes|hypersalivation|neurological_signs,aggression; paralysis,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Mastitis,pain_on_palpation|reduced_milk|swollen_udder,pain on palpation; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Anthrax,sudden_death|swelling,sudden death; swelling,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Indigenous,Senior,Newcastle Disease,respiratory_distress|neurological_signs,respiratory distress; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Theileriosis,lymph_node_enlargement|drooling,lymph node enlargement; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Senior,Anaplasmosis,pale_mucous_membranes|fever|weakness|ticks_observed,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Adult,Babesiosis,fever|anorexia|anemia|weakness|hemoglobinuria,fever; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Babesiosis,hemoglobinuria|fever,red/brown urine (hemoglobinuria); fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Brucellosis,abortions|retained_placenta,abortions; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Juvenile,Avian Influenza (HPAI),greenish_diarrhoea|drop_in_egg_production|respiratory_signs|swelling_head,greenish diarrhoea; drop in egg production,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Juvenile,Mannheimiosis (Pasteurellosis),nasal_discharge|anorexia|fever|coughing|respiratory_distress,nasal discharge; reduced appetite/anorexia,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Dermatophilosis,crusting_skin_lesions|wet_skin|matted_hair|lameness|ticks_observed,crusting skin lesions; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Juvenile,Babesiosis,weakness|anorexia|fever|anemia,weakness; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Anaplasmosis,weight_loss|fever|pale_mucous_membranes|weakness,weight loss; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Rabies (spillover),aggression|behavioural_changes|neurological_signs,aggression; behavioural changes,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Senior,Blackleg,swollen_muscle|severe_lameness,swollen muscle; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Neonate,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality|scabby_lesions_mouth,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Parasitic Gastroenteritis,weight_loss|anorexia|diarrhoea|bottle_jaw|poor_condition,weight loss; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Foot-and-Mouth Disease,lameness|blisters_mouth_feet,lameness; vesicles/blisters on mouth/feet,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Adult,Foot-and-Mouth Disease,lameness|fever|reduced_appetite,lameness; fever,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Juvenile,Anaplasmosis,weight_loss|weakness|pale_mucous_membranes|fever|ticks_observed,weight loss; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Neonate,Lumpy Skin Disease,reduced_milk|skin_nodules|swollen_lymph_nodes,reduced milk yield; skin nodules,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Berkshire,Neonate,African Swine Fever,anorexia|high_fever|hemorrhages|abortions|sudden_death,reduced appetite/anorexia; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Senior,Parasitic Gastroenteritis,poor_condition|diarrhoea|bottle_jaw,poor condition; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Landrace,Juvenile,Anthrax,sudden_death|bloody_diarrhoea|neck_edema,sudden death; bloody diarrhoea,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Juvenile,Theileriosis,anorexia|fever|lymph_node_enlargement|drooling|icterus|ticks_observed,reduced appetite/anorexia; fever,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Rabies (spillover),neurological_signs|hypersalivation|aggression|paralysis,neurological signs / paralysis; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Adult,Anaplasmosis,fever|weakness,fever; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Anaplasmosis,fever|weight_loss|weakness,fever; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Brucellosis,abortions|orchitis,abortions; orchitis,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Adult,Mastitis,swollen_udder|reduced_milk|abnormal_milk|pain_on_palpation,swollen udder; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Parasitic Gastroenteritis,diarrhoea|weight_loss|anorexia|bottle_jaw|poor_condition,diarrhoea; weight loss,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Coccidiosis,dehydration|diarrhoea,dehydration; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Neonate,Parasitic Gastroenteritis,bottle_jaw|anorexia|diarrhoea|weight_loss|poor_condition,bottle jaw; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Neonate,Tick-bite toxicosis,salivation|sudden_weakness|anemia|ticks_observed,salivation; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Juvenile,Anthrax,bloody_diarrhoea|sudden_death,bloody diarrhoea; sudden death,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Pig,Berkshire,Juvenile,Foot-and-Mouth Disease,blisters_mouth_feet|excess_salivation|fever|reduced_appetite,vesicles/blisters on mouth/feet; excess salivation,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Coccidiosis,dehydration|weight_loss|diarrhoea|anorexia,dehydration; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Babesiosis,anorexia|weakness|hemoglobinuria|fever|anemia,reduced appetite/anorexia; weakness,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Dermatophilosis,exudative_dermatitis|lameness|matted_hair|crusting_skin_lesions,exudative dermatitis; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Adult,Avian Influenza (HPAI),greenish_diarrhoea|respiratory_signs,greenish diarrhoea; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Neonate,Theileriosis,respiratory_distress|fever|lymph_node_enlargement,respiratory distress; fever,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Juvenile,Newcastle Disease,diarrhoea|neurological_signs|respiratory_distress,diarrhoea; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Mannheimiosis (Pasteurellosis),coughing|nasal_discharge|respiratory_distress|fever|anorexia,coughing; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Dermatophilosis,lameness|matted_hair|crusting_skin_lesions|wet_skin|exudative_dermatitis,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Parasitic Gastroenteritis,bottle_jaw|poor_condition|diarrhoea|weight_loss|anorexia,bottle jaw; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Parasitic Gastroenteritis,bottle_jaw|diarrhoea|weight_loss|anorexia|poor_condition,bottle jaw; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
