country,province,district,species,breed,age_group,disease,symptoms_list,key_signs,ticks_present,confirmed_lab,recommended_treatment,prevention,source,date_reported,confidence_level,case_id
Mauritius,Plaines Wilhems,fort,Sheep,Dorper,Senior,Parasitic Gastroenteritis,diarrhoea|weight_loss,diarrhoea; weight loss,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2021-06-25,0.88,2465
Zimbabwe,Manicaland,furt,Sheep,Merino,Adult,Anaplasmosis,progressive_anemia|weakness|weight_loss,progressive anemia; weakness,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-03-06,0.76,229
Zambia,Lusaka,Port Sabrina,Poultry,Indigenous,Juvenile,Avian Influenza (HPAI),greenish_diarrhoea|sudden_death|sudden_death,greenish diarrhoea; sudden death,N,No,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2024-09-03,0.8,916
Comoros,Ngazidja,mouth,Cattle,Friesian,Juvenile,Parasitic Gastroenteritis,diarrhoea|anorexia,diarrhoea; reduced appetite/anorexia,N,Yes,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2023-10-21,0.92,795
Zambia,Copperbelt,chester,Sheep,Dorper,Neonate,Babesiosis,fever|anemia|hemoglobinuria|anorexia,fever; anemia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2020-07-25,0.94,3022
South Africa,Mpumalanga,mouth,Poultry,Broilers,Senior,Avian Influenza (HPAI),sudden_death|drop_in_egg_production|swelling_head|greenish_diarrhoea|respiratory_signs,sudden death; drop in egg production,N,No,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2025-06-11,0.84,3544
South Africa,Western Cape,view,Goat,Local,Adult,Parasitic Gastroenteritis,bottle_jaw|poor_condition|weight_loss|anorexia|diarrhoea,bottle jaw; poor condition,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-08-30,0.84,1074
DR Congo,Kasai,East Terrance,Goat,Local,Neonate,Dermatophilosis,crusting_skin_lesions|exudative_dermatitis|wet_skin|matted_hair,crusting skin lesions; exudative dermatitis,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2024-11-27,0.87,3352
Namibia,Otjozondjupa,Michaelbury,Sheep,Katahdin,Neonate,Theileriosis,respiratory_distress|drooling,respiratory distress; drooling/ptyalism,N,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2020-08-16,0.91,1745
Eswatini,Manzini,fort,Cattle,Hereford,Neonate,Anaplasmosis,progressive_anemia|fever|weight_loss|pale_mucous_membranes|weakness,progressive anemia; fever,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2022-09-27,0.76,1085
Namibia,Erongo,port,Goat,Boer,Juvenile,Dermatophilosis,exudative_dermatitis|wet_skin,exudative dermatitis; wet skin,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2022-12-23,0.81,927
Botswana,Kweneng,ville,Cattle,Sanga,Adult,Parasitic Gastroenteritis,diarrhoea|bottle_jaw|poor_condition|weight_loss,diarrhoea; bottle jaw,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2019-11-21,0.85,3050
Seychelles,Inner Islands,furt,Goat,Boer,Neonate,Dermatophilosis,lameness|matted_hair,lameness; matted hair,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2023-05-17,0.83,1118
Comoros,Ngazidja,mouth,Goat,Boer,Adult,Babesiosis,fever|anorexia|sudden_death,fever; reduced appetite/anorexia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2020-08-13,0.8,643
Mauritius,Plaines Wilhems,Josemouth,Poultry,Broilers,Juvenile,Coccidiosis,anorexia|diarrhoea,reduced appetite/anorexia; diarrhoea,N,No,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2023-04-10,0.77,4768
Eswatini,Manzini,chester,Sheep,Dorper,Neonate,Anaplasmosis,progressive_anemia|fever|pale_mucous_membranes|weakness,progressive anemia; fever,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2020-08-14,0.96,502
Angola,Huíla,chester,Sheep,Dorper,Neonate,Dermatophilosis,lameness|matted_hair,lameness; matted hair,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2021-06-07,0.9,4067
Seychelles,Inner Islands,haven,Sheep,Katahdin,Juvenile,Babesiosis,anemia|weakness|fever|anorexia|hemoglobinuria,anemia; weakness,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2024-05-14,0.96,334
Malawi,Southern,berg,Cattle,Hereford,Adult,Parasitic Gastroenteritis,bottle_jaw|anorexia|weight_loss|sudden_death,bottle jaw; reduced appetite/anorexia,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2020-01-24,0.8,4685
Eswatini,Manzini,stad,Cattle,Bonsmara,Neonate,Dermatophilosis,crusting_skin_lesions|matted_hair|lameness,crusting skin lesions; matted hair,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2021-10-19,0.77,487
Zimbabwe,Bulawayo,land,Pig,Local,Neonate,Foot-and-Mouth Disease,excess_salivation|fever|reduced_appetite|lameness|blisters_mouth_feet,excess salivation; fever,N,No,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2021-07-26,0.84,1963
Lesotho,Mokhotlong,South Tammie,Poultry,Layers,Senior,Avian Influenza (HPAI),swelling_head|greenish_diarrhoea|respiratory_signs|sudden_death,swelling of head; greenish diarrhoea,N,Yes,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2020-11-06,0.85,394
Lesotho,Maseru,haven,Poultry,Indigenous,Adult,Newcastle Disease,drop_in_egg_production|neurological_signs|respiratory_distress|diarrhoea,drop in egg production; neurological signs / paralysis,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2023-12-02,0.85,4843
Comoros,Ngazidja,mouth,Sheep,Dorper,Neonate,Anaplasmosis,weakness|fever|weight_loss,weakness; fever,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2024-10-30,0.99,4867
Zimbabwe,Mashonaland West,Nataliemouth,Goat,Boer,Juvenile,Mastitis,swollen_udder|pain_on_palpation|abnormal_milk,swollen udder; pain on palpation,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2023-07-25,0.82,1756
Zimbabwe,Mashonaland West,mouth,Sheep,Dorper,Neonate,Mastitis,swollen_udder|pain_on_palpation,swollen udder; pain on palpation,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2025-07-18,0.85,2516
Zimbabwe,Mashonaland Central,furt,Poultry,Layers,Senior,Avian Influenza (HPAI),swelling_head|sudden_death|drop_in_egg_production|greenish_diarrhoea|respiratory_signs,swelling of head; sudden death,N,No,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2023-05-30,0.86,3586
Botswana,Gaborone,borough,Cattle,Bonsmara,Senior,Parasitic Gastroenteritis,weight_loss|poor_condition|anorexia,weight loss; poor condition,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2023-10-04,0.79,4316
Angola,Huíla,South Donald,Goat,Boer cross,Adult,Parasitic Gastroenteritis,weight_loss|diarrhoea|anorexia|bottle_jaw|sudden_death,weight loss; diarrhoea,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2024-10-07,0.83,4967
Mauritius,Plaines Wilhems,Lake Markfort,Goat,Boer cross,Senior,Mannheimiosis (Pasteurellosis),fever|nasal_discharge,fever; nasal discharge,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2021-03-31,0.81,2100
Lesotho,Maseru,shire,Cattle,Bali,Senior,Dermatophilosis,matted_hair|wet_skin|crusting_skin_lesions,matted hair; wet skin,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2020-05-19,0.9,3600
Eswatini,Hhohho,mouth,Cattle,Bonsmara,Adult,Lumpy Skin Disease,reduced_milk|skin_nodules|fever|lameness|swollen_lymph_nodes,reduced milk yield; skin nodules,N,No,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2023-10-05,0.96,4122
Comoros,Ngazidja,Lake Joseph,Goat,Kalahari,Adult,Parasitic Gastroenteritis,anorexia|poor_condition,reduced appetite/anorexia; poor condition,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2025-08-03,0.72,30
Zimbabwe,Matabeleland South,stad,Sheep,Local,Senior,Blackleg,sudden_death|severe_lameness|swollen_muscle,sudden death; severe lameness,N,No,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2022-05-23,0.8,66
Malawi,Central,shire,Poultry,Local scavenging,Senior,Newcastle Disease,respiratory_distress|diarrhoea|neurological_signs|sudden_death,respiratory distress; diarrhoea,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2021-10-01,0.86,839
Comoros,Ngazidja,fort,Cattle,Brahman,Neonate,Babesiosis,anorexia|weakness,reduced appetite/anorexia; weakness,Y,Yes,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2022-11-13,0.8,3907
Lesotho,Mokhotlong,West Melissa,Poultry,Layers,Neonate,Newcastle Disease,neurological_signs|drop_in_egg_production|diarrhoea,neurological signs / paralysis; drop in egg production,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2021-08-09,0.89,3774
DR Congo,Kasai,East Gabriellemouth,Poultry,Layers,Neonate,Newcastle Disease,respiratory_distress|neurological_signs|diarrhoea|drop_in_egg_production,respiratory distress; neurological signs / paralysis,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2024-09-15,0.9,4636
Zambia,Lusaka,mouth,Cattle,Sanga,Neonate,Parasitic Gastroenteritis,poor_condition|weight_loss|diarrhoea,poor condition; weight loss,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2021-10-13,0.85,3162
Comoros,Ngazidja,mouth,Cattle,Local,Neonate,Lumpy Skin Disease,skin_nodules|lameness,skin nodules; lameness,N,No,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2024-05-14,0.92,2660
Lesotho,Maseru,ton,Cattle,Bali,Senior,Babesiosis,weakness|anorexia|anemia|ticks_observed,weakness; reduced appetite/anorexia,N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2025-01-04,0.87,4616
Mauritius,Plaines Wilhems,land,Goat,Boer,Juvenile,Foot-and-Mouth Disease,excess_salivation|lameness|fever,excess salivation; lameness,N,No,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2023-07-10,0.84,4629
Eswatini,Manzini,ton,Cattle,Bonsmara,Neonate,Anaplasmosis,fever|progressive_anemia|weight_loss|pale_mucous_membranes,fever; progressive anemia,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2019-12-23,0.86,2452
Zambia,Northern,Kinghaven,Cattle,Sanga,Senior,Foot-and-Mouth Disease,excess_salivation|fever|blisters_mouth_feet,excess salivation; fever,N,No,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2023-08-19,0.85,2847
Namibia,Erongo,stad,Sheep,Katahdin,Adult,Theileriosis,lymph_node_enlargement|icterus|fever,lymph node enlargement; jaundice/icterus,N,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2024-12-19,0.79,1145
Tanzania,Dar es Salaam,South Barbaraside,Sheep,Katahdin,Neonate,Anaplasmosis,progressive_anemia|pale_mucous_membranes|fever,progressive anemia; pale mucous membranes,N,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2020-04-25,0.88,3079
Eswatini,Manzini,burgh,Cattle,Local,Adult,Dermatophilosis,matted_hair|exudative_dermatitis|wet_skin|lameness,matted hair; exudative dermatitis,Y,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Merck_VetManual,2022-11-20,0.82,1104
Lesotho,Maseru,Port Joshuahaven,Cattle,Bali,Neonate,Theileriosis,lymph_node_enlargement|respiratory_distress,lymph node enlargement; respiratory distress,N,Yes,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2023-03-05,0.8,169
Namibia,Otjozondjupa,mouth,Sheep,Dorper,Senior,Brucellosis,retained_placenta|reduced_fertility|orchitis|abortions|sudden_death,retained placenta; reduced fertility,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Merck_VetManual,2020-08-24,0.86,1671
Zimbabwe,Manicaland,view,Pig,Berkshire,Neonate,African Swine Fever,abortions|anorexia,abortions; reduced appetite/anorexia,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2020-12-08,0.84,2571
Namibia,Erongo,side,Sheep,Dorper,Adult,Parasitic Gastroenteritis,weight_loss|anorexia|poor_condition|bottle_jaw|diarrhoea,weight loss; reduced appetite/anorexia,N,Yes,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2020-03-24,0.93,2378
Zambia,Northern,mouth,Pig,Large White,Senior,African Swine Fever,anorexia|sudden_death|high_fever|sudden_death,reduced appetite/anorexia; sudden death,N,No,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2024-08-05,0.72,4396
Comoros,Ngazidja,stad,Goat,Boer,Senior,Anaplasmosis,pale_mucous_membranes|weakness|weight_loss|fever,pale mucous membranes; weakness,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2021-11-11,0.81,4258
Botswana,North East,borough,Cattle,Friesian,Neonate,Babesiosis,anorexia|anemia,reduced appetite/anorexia; anemia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2022-03-14,0.77,3863
Angola,Huíla,stad,Cattle,Local,Neonate,Parasitic Gastroenteritis,anorexia|diarrhoea|bottle_jaw|weight_loss|poor_condition,reduced appetite/anorexia; diarrhoea,N,No,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-09-07,0.96,24
South Africa,KwaZulu-Natal,borough,Goat,Boer,Adult,Theileriosis,fever|icterus|drooling|lymph_node_enlargement|anorexia,fever; jaundice/icterus,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2024-03-15,0.93,2634
Botswana,Kweneng,borough,Cattle,Angus,Juvenile,Mannheimiosis (Pasteurellosis),nasal_discharge|fever|coughing|respiratory_distress,nasal discharge; fever,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-08-25,0.95,3341
Mauritius,Plaines Wilhems,Port Brenda,Cattle,Friesian,Neonate,Lumpy Skin Disease,fever|reduced_milk|skin_nodules,fever; reduced milk yield,N,No,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,DVS_reports,2025-09-11,0.97,2216
Madagascar,Antananarivo,Stokesbury,Sheep,Katahdin,Adult,Theileriosis,anorexia|lymph_node_enlargement|fever,reduced appetite/anorexia; lymph node enlargement,Y,No,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2021-12-23,0.8,3683
Namibia,Omusati,chester,Cattle,Bali,Adult,Mastitis,abnormal_milk|reduced_milk|swollen_udder,abnormal milk; reduced milk yield,N,Yes,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2023-12-21,0.89,4725
Mauritius,Plaines Wilhems,ville,Sheep,Local,Adult,Brucellosis,reduced_fertility|retained_placenta|orchitis|sudden_death,reduced fertility; retained placenta,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2020-10-17,0.84,1908
Tanzania,Mtwara,haven,Sheep,Merino,Neonate,Babesiosis,fever|weakness|anemia|hemoglobinuria|anorexia,fever; weakness,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2021-10-19,0.83,85
Comoros,Ngazidja,furt,Goat,Boer cross,Senior,Babesiosis,fever|hemoglobinuria,fever; red/brown urine (hemoglobinuria),N,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2022-08-20,0.71,228
DR Congo,Kasai,berg,Cattle,Local,Senior,Mannheimiosis (Pasteurellosis),nasal_discharge|fever|respiratory_distress|anorexia|coughing,nasal discharge; fever,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2025-03-14,0.76,297
South Africa,North West,Port Lori,Cattle,Brahman,Neonate,Rabies (spillover),aggression|paralysis|behavioural_changes|hypersalivation|neurological_signs,aggression; paralysis,N,No,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,SADC_bulletin,2023-03-01,0.85,1002
Mozambique,Gaza,Ruizmouth,Sheep,Dorper,Adult,Mastitis,pain_on_palpation|reduced_milk|swollen_udder,pain on palpation; reduced milk yield,N,No,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2021-07-21,0.91,2139
DR Congo,Kasai,stad,Goat,Boer,Neonate,Anthrax,sudden_death|swelling,sudden death; swelling,N,No,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,PLOS_Study,2023-02-28,0.93,712
Lesotho,Maseru,mouth,Poultry,Indigenous,Senior,Newcastle Disease,respiratory_distress|neurological_signs,respiratory distress; neurological signs / paralysis,N,No,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2022-06-14,0.91,2802
DR Congo,Kinshasa,town,Cattle,Angus,Juvenile,Theileriosis,lymph_node_enlargement|drooling,lymph node enlargement; drooling/ptyalism,Y,Yes,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.,PLOS_Study,2023-12-01,0.94,2528
Comoros,Ngazidja,Lake Reginaside,Goat,Boer cross,Senior,Anaplasmosis,pale_mucous_membranes|fever|weakness|ticks_observed,pale mucous membranes; fever,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,SADC_bulletin,2021-05-07,0.87,3753
Comoros,Ngazidja,Marybury,Cattle,Bali,Adult,Babesiosis,fever|anorexia|anemia|weakness|hemoglobinuria,fever; reduced appetite/anorexia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2020-09-10,0.78,3322
Namibia,Otjozondjupa,haven,Goat,Boer cross,Neonate,Babesiosis,hemoglobinuria|fever,red/brown urine (hemoglobinuria); fever,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,FAO_EMPRES,2024-04-10,0.86,3182
Mauritius,Plaines Wilhems,fort,Cattle,Bali,Senior,Brucellosis,abortions|retained_placenta,abortions; retained placenta,N,No,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Extension_guide,2020-10-31,0.93,4184
DR Congo,Kinshasa,town,Poultry,Broilers,Juvenile,Avian Influenza (HPAI),greenish_diarrhoea|drop_in_egg_production|respiratory_signs|swelling_head,greenish diarrhoea; drop in egg production,N,No,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.,Field_report,2020-08-24,0.91,1616
Angola,Benguela,bury,Sheep,Dorper,Juvenile,Mannheimiosis (Pasteurellosis),nasal_discharge|anorexia|fever|coughing|respiratory_distress,nasal discharge; reduced appetite/anorexia,N,No,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.,Field_report,2025-04-14,0.9,3025
Seychelles,Inner Islands,port,Goat,Boer cross,Neonate,Dermatophilosis,crusting_skin_lesions|wet_skin|matted_hair|lameness|ticks_observed,crusting skin lesions; wet skin,N,No,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.,Extension_guide,2020-06-12,0.83,1414
Angola,Huíla,Perrymouth,Cattle,Brahman,Juvenile,Babesiosis,weakness|anorexia|fever|anemia,weakness; reduced appetite/anorexia,Y,No,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,DVS_reports,2021-07-05,0.78,764
Mozambique,Sofala,Brownfort,Goat,Boer cross,Juvenile,Anaplasmosis,weight_loss|fever|pale_mucous_membranes|weakness,weight loss; fever,Y,No,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.,Field_report,2024-11-07,0.95,656
